Dataset,project_name,passed_CDHIT_filter,signal_to_noise,EternaScore,GC content,Length,Max. reactivity,Median reactivity,"Target structure, total loops","Target structure, # hairpins","Target structure, # Internal loops","Target structure, # Multiloops",# constructs,Sequence Entropy,Mean_of_package_correlations,Stddev_of_package_correlations,cfold_zscore
Round 00,Project : Test of RNAfold (4),True,2.7022500000000003,88.325,0.4439252336,86.0,1.7777500000000002,0.3516,6.0,2.0,3.0,1.0,4,0.2848640186,0.6000096581000001,0.0194132532,0.2237216659
Round 00,Project : Test of RNAfold (5),True,2.723,89.7666666667,0.4080996885,86.0,2.0258833333,0.42201666670000004,6.1666666667,2.1666666667,2.8333333333,1.1666666667,6,0.3618840525,0.6370939721000001,0.0210610613,0.9773177314
Round 00,Project : Testing various loop designs,True,3.578125,87.425,0.3341121495,86.0,1.8070374999999999,0.4675625,4.75,1.6875,2.375,0.6875,16,0.4555917131,0.5286811701,0.0362973757,1.071197196
Round 00,Project : Thicker Zigzag,True,2.1348,80.54,0.32616822430000003,86.0,1.73752,0.29486,5.0,1.0,4.0,0.0,10,0.2885154145,0.5626081766000001,0.0167833191,0.6627169460000001
Round 00,Project : Tobramycin Aptamer,True,1.95975,78.0,0.273364486,86.0,1.7096,0.169825,3.0,1.0,2.0,0.0,4,0.2414904059,0.5158876442,0.0116527339,0.742959232
Round 00,Project : Two stacks,True,1.2746,79.08,0.3635514019,86.0,4.2402,0.19986,3.0,2.0,0.0,1.0,10,0.4857372687,0.4981212083,0.0800933587,0.4059895806
Round 00,Project : Uracil Reduction,True,2.4386666667,88.0,0.4517133956,86.0,1.5873,0.39586666670000004,6.0,1.6666666667,3.6666666667000003,0.6666666667000001,3,0.2293069316,0.5166858346000001,0.0215678259,0.8622794412
Round 00,Project : chain length and loop size series 1-4,True,1.608,94.7,0.38317757010000003,86.0,1.8888,0.3121,6.0,3.0,2.0,1.0,1,0.0,0.7069307234000001,0.0193831296,0.0259584173
Round 00,Project : chain length and loop size series 1-5,True,3.571,98.7,0.4205607477,86.0,1.4984,0.3658,6.0,3.0,2.0,1.0,1,0.0,0.7866234055,0.0489424875,-0.4738988363
Round 00,Project : chain lenth and loop size series 1-9,True,1.147,88.0,0.43302180690000003,86.0,1.5716999999999999,0.3451666667,6.0,3.0,2.0,1.0,3,0.14119412,0.5640006304,0.0452379142,0.5052773234
Round 00,Project : comparison series:,True,1.3405555556,82.6666666667,0.2959501558,86.0,1.3441555556,0.1870555556,3.0,1.0,2.0,0.0,9,0.3916588664,0.48955081600000006,0.0505238028,0.400025571
Round 00,Project : comparison series: 1-1,True,1.3044,85.88,0.2542056075,86.0,1.49258,0.21174,2.8,1.0,1.8,0.0,5,0.2675855339,0.5029196476,0.0289807441,0.0772524304
Round 00,Project : comparison series: 11-11,True,1.762,92.675,0.3107476636,86.0,2.14775,0.3962,3.0,1.0,2.0,0.0,4,0.20167942460000002,0.4946070984,0.015454324600000001,0.4423259109
Round 00,Project : comparison series: 13-15,True,2.126,92.7,0.285046729,86.0,1.6731,0.3265,3.0,1.0,2.0,0.0,2,0.11682242990000001,0.5421496939,0.0077449162,0.2551941032
Round 00,Project : comparison series: 14-15,True,3.47675,90.325,0.2897196262,86.0,1.7956249999999998,0.2975,3.0,1.0,2.0,0.0,4,0.210807389,0.45991139820000004,0.0591191452,0.2285736606
Round 00,Project : comparison series: 15-1,True,1.9402,86.12,0.2897196262,86.0,1.9694800000000001,0.22064000000000003,3.0,1.0,2.0,0.0,5,0.1859703482,0.44126158730000004,0.038320671300000005,-0.0652087477
Round 00,Project : comparison series: 15-15,True,2.9663333333,87.1333333333,0.32242990650000003,86.0,1.5272166667,0.2359,3.0,1.0,2.0,0.0,6,0.2457849769,0.44689588890000004,0.0765035625,0.2397763438
Round 00,Project : comparison series: 15-2,True,1.6945000000000001,83.3166666667,0.2897196262,86.0,2.0501333333,0.20301666670000001,3.0,1.0,2.0,0.0,6,0.2460754169,0.4199644597,0.039299658700000004,0.38421087130000003
Round 00,Project : comparison series: 15-6,True,2.006,92.325,0.30607476640000003,86.0,2.475875,0.354575,3.0,1.0,2.0,0.0,4,0.1964338346,0.5330908187,0.0207466815,0.42334593660000003
Round 00,Project : comparison series: 2-15,True,1.9546666667,80.4333333333,0.29283489100000004,86.0,1.8566666667,0.22510000000000002,3.0,1.0,2.0,0.0,3,0.1829293031,0.4754844579,,0.6441065338
Round 00,Project : comparison series: 2-3,True,1.346,85.35,0.3037383178,86.0,1.22485,0.16125,3.0,1.0,2.0,0.0,2,0.1074766355,0.7048517671,0.004206719,-0.1062809464
Round 00,Project : comparison series: 2-8,True,1.389,78.6666666667,0.31152647980000003,86.0,1.4044666667,0.2375666667,3.0,1.0,2.0,0.0,3,0.2137306076,0.6161751801,0.0173402322,0.4606800206
Round 00,Project : comparison series: 3-15,True,2.0573333333,82.6666666667,0.30218068540000004,86.0,2.0406666667,0.2767333333,3.0,1.0,2.0,0.0,3,0.2019722353,0.4761990245,0.008897778700000001,0.6064224296
Round 00,Project : comparison series: 4-4,True,1.3824,80.0,0.2934579439,86.0,1.54472,0.20338,3.0,1.0,2.0,0.0,5,0.2741217194,0.578132635,0.0234428492,0.22525127760000002
Round 00,Project : comparison series: 6-6,True,1.7575,84.025,0.30607476640000003,86.0,1.3648,0.21430000000000002,3.0,1.0,2.0,0.0,4,0.2618543954,0.5786723958000001,0.0075516754,0.23695681270000002
Round 00,Project : comparison series: 7-7,True,1.52975,87.65,0.3014018692,86.0,1.87335,0.316625,3.0,1.0,2.0,0.0,4,0.1929520005,0.5944380754,0.0069761259,-0.29699957920000003
Round 00,Project : comparison series: Triloop  ,True,1.8235000000000001,82.975,0.2897196262,86.0,1.5114,0.182525,3.0,1.0,2.0,0.0,4,0.1829878358,0.6251549446,0.009605226100000001,0.3771298622
Round 00,Project : miRNA hairpin robustness,True,2.208,81.7666666667,0.4127725857,86.0,1.8856833333,0.21955000000000002,4.5,1.0,3.5,0.0,6,0.5098901315000001,0.5397252963,0.0680305192,0.3541573228
Round 00,Project: Parin's favorite motifs,True,0.5490909091,69.9272727273,0.36618521670000004,86.0,3.7598363636,0.10072727270000001,3.5454545455,1.0,2.5454545455,0.0,11,0.4012406771,0.27321996660000003,0.0256390903,0.0307889122
Round 00,Project: mRNA structure,True,3.4591428571,77.3428571429,0.4472630174,86.0,1.8877000000000002,0.3177571429,6.4285714286,2.1428571429,3.4285714286,0.8571428571,7,0.3398945398,0.4245897511,0.0267598767,0.427792432
Round 00,Project: unbound aptamer structures,True,0.8407083333,71.7833333333,0.3952492212,86.0,1.8174291667,0.209525,4.2083333333,1.375,2.5,0.33333333330000003,24,0.5442866592,0.3691959768,0.025483688100000002,0.3298751103
Round 00,Shape Library 101: The Finger,True,1.7082694611,81.5053892216,0.4227432984,86.0,2.9544892216000003,0.2266047904,4.1377245509,1.0479041916,3.0419161677,0.0479041916,167,0.6160406093,0.5347754822,0.038857692,0.8424417488
Round 01,Cloud Lab 1 - Aires by wateronthemoon,True,5.64590625,91.2296875,0.359521028,86.0,2.219871875,0.1200578125,3.0,1.0,2.0,0.0,64,0.6215246568,0.687640584,0.0634944862,0.5500676228
Round 03,Cloud Lab 1 - Aires by wateronthemoon,True,2.73509375,86.6671875,0.39573598130000004,86.0,5.7584046875,0.1373859375,3.0,1.0,2.0,0.0,64,0.6215246568,0.687640584,0.0634944862,0.5500676228
Round 01,Cloud Lab 10 - Random Shape 2 by ElNando888,True,7.3486885246,92.8098360656,0.406005822,86.0,1.6333377049000002,0.3565229508,6.0,1.0,5.0,0.0,61,0.5140994274,0.6757615680000001,0.0470236767,0.3412835303
Round 03,Cloud Lab 10 - Random Shape 2 by ElNando888,True,3.1208947368,90.2815789474,0.45253320220000004,86.0,2.1723973684,0.2885131579,6.0,1.0,5.0,0.0,38,0.5140994274,0.6757615680000001,0.0470236767,0.3412835303
Round 01,Cloud Lab 11 - Little bug by JR,True,5.4237333333,87.4666666667,0.4570093458,86.0,1.40612,0.4074816667,9.0,1.0,8.0,0.0,60,0.49501779970000004,0.5273988035,0.046185068100000004,0.44111502820000004
Round 03,Cloud Lab 11 - Little bug by JR,True,2.348875,81.765,0.49696261680000003,86.0,2.2328025,0.3226775,9.0,1.0,8.0,0.0,40,0.49501779970000004,0.5273988035,0.046185068100000004,0.44111502820000004
Round 01,Cloud Lab 12 - Anchor by ribonucleic,True,7.2460377358,89.0283018868,0.42567448420000004,86.0,1.7588056604000002,0.3053264151,7.0,2.0,4.0,1.0,53,0.5269427198000001,0.58499045,0.0403942245,0.8715130982
Round 03,Cloud Lab 12 - Anchor by ribonucleic,True,3.4447045455,85.425,0.4505097706,86.0,2.2499340909,0.2525113636,7.0,2.0,4.0,1.0,44,0.5269427198000001,0.58499045,0.0403942245,0.8715130982
Round 01,Cloud Lab 13 - Alien Party Glasses by Jennifer Pearl,True,6.4474237288000005,86.9101694915,0.4253128465,86.0,1.6700423729,0.4064983051,7.0,2.0,4.0,1.0,59,0.5115003104,0.5634162534,0.0547644425,0.9079616767
Round 03,Cloud Lab 13 - Alien Party Glasses by Jennifer Pearl,True,3.2107222222,85.3694444444,0.46235721700000004,86.0,2.0993222222,0.3468472222,7.0,2.0,4.0,1.0,36,0.5115003104,0.5634162534,0.0547644425,0.9079616767
Round 01,Cloud Lab 14 - Easy loop sizes by Edward Lane,True,7.303745098,87.1333333333,0.4650907092,86.0,1.3265588235,0.4004313725,7.0,4.0,0.0,3.0,51,0.4622878488,0.6120893411,0.037811346,0.6591362111
Round 03,Cloud Lab 14 - Easy loop sizes by Edward Lane,True,2.981,85.5846153846,0.5089863408,86.0,2.0187615385,0.30010000000000003,7.0,4.0,0.0,3.0,26,0.4622878488,0.6120893411,0.037811346,0.6591362111
Round 01,Cloud Lab 15 - Triloop Buffet by jandersonlee,True,5.0293709677,89.8967741935,0.448145915,86.0,1.836216129,0.1730048387,5.0,3.0,1.0,1.0,62,0.57542543,0.6890765513,0.0653811218,0.5308017322
Round 03,Cloud Lab 15 - Triloop Buffet by jandersonlee,True,1.9968181818000001,83.6909090909,0.466440102,86.0,4.2517954545,0.1545022727,5.0,3.0,1.0,1.0,44,0.57542543,0.6890765513,0.0653811218,0.5308017322
Round 01,Cloud Lab 16 - Section from lab Water Strider by Brourd,True,6.9579833333,86.885,0.43644859810000003,86.0,1.41517,0.34111166670000004,6.0,3.0,1.0,2.0,60,0.49840743540000004,0.633232074,0.0471097804,0.9087139184
Round 03,Cloud Lab 16 - Section from lab Water Strider by Brourd,True,2.1736410256,85.1897435897,0.49005511620000003,86.0,2.2519615385,0.2276641026,6.0,3.0,1.0,2.0,39,0.49840743540000004,0.633232074,0.0471097804,0.9087139184
Round 01,Cloud Lab 17 - Oryza sativa 8 Elements Part 2 by merryskies,True,6.7881833333,89.2883333333,0.41105919,86.0,1.5977033333000001,0.30629,6.0,2.0,3.0,1.0,60,0.5473823306,0.684800768,0.0558324705,0.7195297061
Round 03,Cloud Lab 17 - Oryza sativa 8 Elements Part 2 by merryskies,True,2.7629333333,84.8911111111,0.4556593977,86.0,5.3113244444,0.24844000000000002,6.0,2.0,3.0,1.0,45,0.5473823306,0.684800768,0.0558324705,0.7195297061
Round 01,Cloud Lab 18 - Anaconda About to Poop by SpaceFolder,True,4.54875,87.1566666667,0.357788162,86.0,1.7623600000000001,0.1505766667,2.0,1.0,1.0,0.0,60,0.6037194052,0.6447679187,0.035556459900000004,0.6000175550000001
Round 03,Cloud Lab 18 - Anaconda About to Poop by SpaceFolder,True,2.933893617,89.6723404255,0.3684629151,86.0,8.7611851064,0.2159531915,2.0,1.0,1.0,0.0,47,0.6037194052,0.6447679187,0.035556459900000004,0.6000175550000001
Round 01,Cloud Lab 19 - Big Hairpin Loop by Eli Fisker,True,9.2075,93.0388888889,0.3821391485,86.0,1.1504555556,0.3112333333,2.0,1.0,1.0,0.0,18,0.5696396972000001,0.34541727720000004,0.026171997000000002,0.49293703040000003
Round 03,Cloud Lab 19 - Big Hairpin Loop by Eli Fisker,True,8.9159268293,95.7829268293,0.3441987691,86.0,4.7560682927,0.6360317073,2.0,1.0,1.0,0.0,41,0.5696396972000001,0.34541727720000004,0.026171997000000002,0.49293703040000003
Round 01,Cloud Lab 2 - Triangle of doom version 2 by dstea,True,10.35359375,83.66875,0.339953271,86.0,1.29914375,0.38643125,4.0,2.0,1.0,1.0,32,0.47821991280000004,0.4747992012,0.027292926800000002,0.1540984034
Round 03,Cloud Lab 2 - Triangle of doom version 2 by dstea,True,7.3487333333,91.1133333333,0.3734164071,86.0,2.7040844444000003,0.54312,4.0,2.0,1.0,1.0,45,0.47821991280000004,0.4747992012,0.027292926800000002,0.1540984034
Round 01,Cloud Lab 20 - Random4 by mat747,True,4.6041269841,82.6888888889,0.4969589082,86.0,1.219247619,0.40456349210000003,10.0,3.0,6.0,1.0,63,0.5078207485,0.3937823469,0.043131558800000004,0.9959190958
Round 03,Cloud Lab 20 - Random4 by mat747,True,1.8556034483000001,74.4586206897,0.5227199484,86.0,2.2939362068999998,0.3312431034,10.0,3.0,6.0,1.0,58,0.5078207485,0.3937823469,0.043131558800000004,0.9959190958
Round 01,Cloud Lab 3 - A Simple Zigzag by janelle,True,6.6796769231,91.1615384615,0.454061826,86.0,1.6967707692,0.1848415385,9.0,1.0,8.0,0.0,65,0.5264374217000001,0.7466216622,0.0523238778,-0.1202748731
Round 03,Cloud Lab 3 - A Simple Zigzag by janelle,True,4.4373571429,88.5357142857,0.4577214063,86.0,2.0462404762,0.1657095238,9.0,1.0,8.0,0.0,42,0.5264374217000001,0.7466216622,0.0523238778,-0.1202748731
Round 01,Cloud Lab 4 - Random by theravin,True,8.9157647059,88.7794117647,0.41506322160000003,86.0,1.3806441176,0.5174176471,9.0,3.0,5.0,1.0,34,0.37787371950000004,0.5255892906,0.0337650486,-0.2276378406
Round 03,Cloud Lab 4 - Random by theravin,True,4.3738846154,85.95,0.4554277498,86.0,2.5875538462,0.48428846150000004,9.0,3.0,5.0,1.0,26,0.37787371950000004,0.5255892906,0.0337650486,-0.2276378406
Round 01,Cloud Lab 5 - The Nonesuch by rnjensen45,True,8.5576923077,88.7711538462,0.4426671459,86.0,1.5088461538,0.4615,8.0,3.0,3.0,2.0,52,0.4335910526,0.5388755854,0.050148563,-0.0736407713
Round 03,Cloud Lab 5 - The Nonesuch by rnjensen45,True,4.24408,83.84,0.47065420560000004,86.0,2.319976,0.406944,8.0,3.0,3.0,2.0,25,0.4335910526,0.5388755854,0.050148563,-0.0736407713
Round 01,Cloud Lab 6 - Cross by firedrake969,True,8.2829491525,91.5033898305,0.4074132742,86.0,1.7585305085,0.25231186440000003,5.0,3.0,1.0,1.0,59,0.5486169491,0.6370959855,0.061911224300000005,0.7264392867
Round 03,Cloud Lab 6 - Cross by firedrake969,True,4.4978139535,88.8348837209,0.4344707672,86.0,2.251227907,0.1890069767,5.0,3.0,1.0,1.0,43,0.5486169491,0.6370959855,0.061911224300000005,0.7264392867
Round 01,Cloud Lab 7 - 5 Fold Radial Asymmetrical Starfish Level 0 by Jieux,True,10.4838571429,88.3553571429,0.4080440587,86.0,1.7375357142999999,0.5014375,6.0,5.0,0.0,1.0,56,0.42362964940000003,0.5446360035,0.0435066751,0.4951910477
Round 03,Cloud Lab 7 - 5 Fold Radial Asymmetrical Starfish Level 0 by Jieux,True,4.9102820513,82.4948717949,0.45315121020000004,86.0,2.3681461538,0.4155205128,6.0,5.0,0.0,1.0,39,0.42362964940000003,0.5446360035,0.0435066751,0.4951910477
