SSTRAND_ID,TYPE,EXT_SOURCE,EXT_ID,ORGANISM,contrafold_2 Sens,vienna_2 Sens,contrafold_2 PPV,vienna_2 PPV,contrafold_2 F-score,vienna_2 F-score,eternafold_A Sens,eternafold_B Sens,eternafold_C Sens,eternafold_D Sens,eternafold_E Sens,eternafold_F Sens,eternafold_G Sens,eternafold_A PPV,eternafold_B PPV,eternafold_C PPV,eternafold_D PPV,eternafold_E PPV,eternafold_F PPV,eternafold_G PPV,eternafold_A F-score,eternafold_B F-score,eternafold_C F-score,eternafold_D F-score,eternafold_E F-score,eternafold_F F-score,eternafold_G F-score
ASE_00126,Ribonuclease P RNA,RNase P Database,ESH20b-1.ct,volunteer ESH20b-1,0.685714,0.7,0.585366,0.662162,0.633556,0.680818,0.842857,0.828571,0.771429,0.771429,0.771429,0.757143,0.757143,0.648352,0.651685,0.606742,0.6,0.586957,0.56383,0.588889,0.739235,0.734825,0.684148,0.680336,0.672901,0.653376,0.667737
ASE_00129,Ribonuclease P RNA,RNase P Database,ESH212C.ct,volunteer ESH212C,0.702128,0.744681,0.640777,0.648148,0.670751,0.69474,0.446809,0.595745,0.851064,0.521277,0.617021,0.361702,0.329787,0.362069,0.478632,0.720721,0.429825,0.487395,0.293103,0.264957,0.402213,0.533987,0.783186,0.473348,0.548391,0.325601,0.2956
ASE_00142,Ribonuclease P RNA,RNase P Database,G.sulfurreducens.ct,Geobacter sulfurreducens,0.74,0.7,0.74,0.777778,0.74,0.737865,0.74,0.74,0.74,0.74,0.68,0.66,0.72,0.74,0.74,0.711538,0.74,0.653846,0.6,0.734694,0.74,0.74,0.725629,0.74,0.666795,0.629285,0.72731
ASE_00142,Ribonuclease P RNA,RNase P Database,G.sulfurreducens.ct,Geobacter sulfurreducens,1,1,0.666667,0.777778,0.816497,0.881917,1,1,1,1,1,1,1,0.666667,0.666667,0.666667,0.666667,0.666667,0.736842,0.666667,0.816497,0.816497,0.816497,0.816497,0.816497,0.858395,0.816497
ASE_00146,Ribonuclease P RNA,RNase P Database,H.influenza.ct,Haemophilus influenza,0.941176,0.529412,0.842105,0.409091,0.890263,0.465379,0.529412,0.941176,0.941176,0.882353,0.941176,0.941176,0.529412,0.428571,0.842105,0.842105,0.75,0.842105,0.8,0.428571,0.47633,0.890263,0.890263,0.813489,0.890263,0.867722,0.47633
ASE_00148,Ribonuclease P RNA,RNase P Database,H.morrhuae.ct,Halococcus morrhuae,0.840909,0.818182,0.813187,0.774194,0.826932,0.795884,0.818182,0.818182,0.840909,0.818182,0.863636,0.75,0.806818,0.757895,0.757895,0.770833,0.75,0.783505,0.628571,0.739583,0.787462,0.787462,0.805109,0.78335,0.822595,0.686606,0.772469
ASE_00155,Ribonuclease P RNA,RNase P Database,H.volcanii.ct,Haloferax volcanii,0.5625,0.5,0.529412,0.5,0.545705,0.5,0.5625,0.5625,0.5625,0.5,0.5625,1,0.5625,0.529412,0.529412,0.529412,0.5,0.529412,0.888889,0.529412,0.545705,0.545705,0.545705,0.5,0.545705,0.942809,0.545705
ASE_00160,Ribonuclease P RNA,RNase P Database,K.thermotolerans.ct,Kluyveromyces thermotolerans,1,0.9375,0.727273,0.681818,0.852803,0.799503,1,1,1,1,1,1,1,0.666667,0.666667,0.727273,0.666667,0.666667,0.695652,0.666667,0.816497,0.816497,0.852803,0.816497,0.816497,0.834058,0.816497
ASE_00161,Ribonuclease P RNA,RNase P Database,L.acidophilus.ct,Lactobacillus acidophilus,0.506667,0.426667,0.431818,0.380952,0.467748,0.403162,0.546667,0.533333,0.493333,0.56,0.466667,0.466667,0.546667,0.471264,0.449438,0.41573,0.482759,0.384615,0.353535,0.460674,0.507567,0.489592,0.452872,0.519947,0.423659,0.406181,0.501832
ASE_00167,Ribonuclease P RNA,RNase P Database,L.muta-1.ct,Lachesis muta,0.84,0.88,0.65625,0.709677,0.742462,0.790263,0.88,0.88,0.84,0.88,0.88,0.6,0.88,0.709677,0.709677,0.677419,0.709677,0.6875,0.428571,0.6875,0.790263,0.790263,0.754342,0.790263,0.777817,0.507092,0.777817
ASE_00195,Ribonuclease P RNA,RNase P Database,M.hyopneumoniae.ct,Mycoplasma hyopneumoniae,0.603306,0.644628,0.634783,0.6,0.618844,0.621914,0.628099,0.628099,0.619835,0.628099,0.628099,0.396694,0.628099,0.666667,0.666667,0.619835,0.644068,0.638655,0.571429,0.666667,0.647096,0.647096,0.619835,0.636033,0.633355,0.476112,0.647096
ASE_00205,Ribonuclease P RNA,RNase P Database,M.sedula.ct,Metallosphaera sedula,0.722222,0.722222,0.565217,0.565217,0.638915,0.638915,1,1,0.722222,1,1,1,1,0.818182,0.818182,0.565217,0.818182,0.75,0.782609,0.72,0.904534,0.904534,0.638915,0.904534,0.866025,0.884652,0.848528
ASE_00205,Ribonuclease P RNA,RNase P Database,M.sedula.ct,Metallosphaera sedula,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.875,0.75,0.875,0.75,0.6,0.6,0.7,0.636364,0.75,0.777778,0.6,0.67082,0.67082,0.782624,0.746203,0.75,0.824958,0.67082
ASE_00208,Ribonuclease P RNA,RNase P Database,M.thermoautotrophicumDH-g.ct,Methanobacterium thermoautotrophicum,0.756098,0.341463,0.72093,0.341463,0.738305,0.341463,0.707317,0.731707,0.756098,0.731707,0.707317,0.560976,0.560976,0.659091,0.697674,0.704545,0.681818,0.659091,0.45098,0.522727,0.682778,0.714488,0.729866,0.706322,0.682778,0.50298,0.541514
ASE_00211,Ribonuclease P RNA,RNase P Database,M.tuberculosis-g.ct,Mycobacterium tuberculosis,0.733333,0.666667,0.564103,0.540541,0.643176,0.600301,0.733333,0.733333,0.733333,0.733333,0.733333,0.933333,0.766667,0.55,0.55,0.55,0.564103,0.564103,0.651163,0.605263,0.635085,0.635085,0.635085,0.643176,0.643176,0.779584,0.681201
ASE_00212,Ribonuclease P RNA,RNase P Database,M.tuberculosis.ct,Mycobacterium tuberculosis,0.882353,0.823529,0.714286,0.736842,0.793884,0.778981,0.823529,0.823529,0.882353,0.823529,0.764706,1,0.823529,0.666667,0.736842,0.789474,0.666667,0.590909,0.809524,0.666667,0.740959,0.778981,0.834623,0.740959,0.672214,0.899736,0.740959
ASE_00213,Ribonuclease P RNA,RNase P Database,M.vannielli.ct,Methanococcus vannielii,0.825,0.8,0.891892,0.864865,0.857794,0.8318,0.9,0.9,0.9,0.825,0.9,0.45,0.8,0.857143,0.9,0.878049,0.825,0.923077,0.75,0.761905,0.87831,0.9,0.888957,0.825,0.911465,0.580948,0.78072
ASE_00227,Ribonuclease P RNA,RNase P Database,N.olivacea-chloroplast.ct,Nephroselmis olivacea,0.615385,0.615385,0.571429,0.571429,0.593,0.593,0.615385,0.615385,0.653846,0.615385,0.615385,0.230769,0.615385,0.551724,0.551724,0.548387,0.551724,0.571429,0.214286,0.533333,0.582686,0.582686,0.598799,0.582686,0.593,0.222375,0.572892
ASE_00233,Ribonuclease P RNA,RNase P Database,Nostoc-PCC6705.ct,Nostoc sp.,0.788991,0.752294,0.774775,0.82,0.781851,0.785418,0.816514,0.825688,0.788991,0.844037,0.779817,0.743119,0.798165,0.735537,0.731707,0.699187,0.766667,0.702479,0.632812,0.690476,0.774969,0.777278,0.742733,0.804422,0.740139,0.685751,0.74237
ASE_00235,Ribonuclease P RNA,RNase P Database,Nostoc-PCC7413.ct,Nostoc sp.,0.598039,0.617647,0.544643,0.605769,0.570717,0.611679,0.578431,0.617647,0.607843,0.676471,0.617647,0.45098,0.696078,0.487603,0.520661,0.492063,0.584746,0.516393,0.365079,0.568,0.531079,0.567084,0.546898,0.628939,0.564755,0.405763,0.628786
ASE_00237,Ribonuclease P RNA,RNase P Database,Onchorhynchus-sp-2.ct,Onchorhynchus sp.,0,0,0,0,0,0,0.307692,0.230769,0,0.153846,0,0.307692,0,0.210526,0.157895,0,0.105263,0,0.2,0,0.254514,0.190885,0,0.127257,0,0.248069,0
ASE_00242,Ribonuclease P RNA,RNase P Database,P.aeruginosa.ct,Pseudomonas aeruginosa,0.933333,0.933333,0.736842,0.875,0.829288,0.903696,0.933333,0.933333,0.933333,0.933333,0.933333,0.933333,0.933333,0.736842,0.736842,0.823529,0.823529,0.736842,0.777778,0.823529,0.829288,0.829288,0.876714,0.876714,0.829288,0.852013,0.876714
ASE_00242,Ribonuclease P RNA,RNase P Database,P.aeruginosa.ct,Pseudomonas aeruginosa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASE_00245,Ribonuclease P RNA,RNase P Database,P.canadensis.ct,Pichia canadensis,0.928571,0.928571,0.722222,0.866667,0.818923,0.897085,0.928571,0.928571,1,0.928571,0.928571,0.857143,0.928571,0.65,0.65,0.777778,0.65,0.65,0.545455,0.65,0.776898,0.776898,0.881917,0.776898,0.776898,0.683764,0.776898
ASE_00245,Ribonuclease P RNA,RNase P Database,P.canadensis.ct,Pichia canadensis,1,0.666667,1,1,1,0.816497,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASE_00245,Ribonuclease P RNA,RNase P Database,P.canadensis.ct,Pichia canadensis,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.8,0,1,1,1,1,1,0.894427,0,1
ASE_00250,Ribonuclease P RNA,RNase P Database,P.gingivalis.ct,Porphyromonas gingivalis,1,1,0.736842,0.933333,0.858395,0.966092,1,1,1,1,1,1,1,0.823529,0.823529,0.736842,0.736842,0.7,0.666667,0.736842,0.907485,0.907485,0.858395,0.858395,0.83666,0.816497,0.858395
ASE_00251,Ribonuclease P RNA,RNase P Database,P.guilliermondii.ct,Pichia guilliermondii,1,0.882353,0.708333,0.681818,0.841625,0.775631,1,1,1,1,1,1,1,0.708333,0.708333,0.708333,0.708333,0.708333,0.653846,0.708333,0.841625,0.841625,0.841625,0.841625,0.841625,0.808607,0.841625
ASE_00251,Ribonuclease P RNA,RNase P Database,P.guilliermondii.ct,Pichia guilliermondii,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASE_00253,Ribonuclease P RNA,RNase P Database,P.horikoshi.ct,Pyrococcus horikoshii,0.591837,0.55102,0.527273,0.529412,0.558623,0.540108,0.673469,0.673469,0.673469,0.673469,0.653061,0.693878,0.673469,0.578947,0.578947,0.611111,0.578947,0.561404,0.566667,0.559322,0.624422,0.624422,0.641533,0.624422,0.605501,0.627055,0.613748
ASE_00258,Ribonuclease P RNA,RNase P Database,P.mississippiensis.ct,Pichia mississippiensis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.888889,0.888889,1,1,1,1,1,0.942809,0.942809,1
ASE_00264,Ribonuclease P RNA,RNase P Database,P.strasburgensis.ct,Pichia strasburgensis,0.785714,1,0.611111,0.823529,0.692935,0.907485,0.785714,0.785714,0.785714,0.785714,0.785714,0.357143,0.785714,0.611111,0.611111,0.611111,0.611111,0.611111,0.277778,0.611111,0.692935,0.692935,0.692935,0.692935,0.692935,0.314971,0.692935
ASE_00264,Ribonuclease P RNA,RNase P Database,P.strasburgensis.ct,Pichia strasburgensis,1,0.827586,0.828571,0.685714,0.910259,0.753318,0.827586,0.827586,1,1,1,0.793103,1,0.685714,0.666667,0.828571,0.805556,0.805556,0.605263,0.805556,0.753318,0.742781,0.910259,0.897528,0.897528,0.692846,0.897528
ASE_00266,Ribonuclease P RNA,RNase P Database,P.troglodytes.ct,Pan troglodytes,0.833333,0.833333,0.769231,0.714286,0.800641,0.771517,1,1,1,1,1,0.416667,1,0.705882,0.705882,0.8,0.75,0.705882,0.294118,0.705882,0.840168,0.840168,0.894427,0.866025,0.840168,0.35007,0.840168
ASE_00276,Ribonuclease P RNA,RNase P Database,Prochlorococcus-TAK9803-2.ct,Prochlorococcus sp.,0.506667,0.4,0.404255,0.315789,0.452573,0.355409,0.64,0.64,0.786667,0.506667,0.4,0.693333,0.493333,0.516129,0.494845,0.678161,0.404255,0.306122,0.52,0.377551,0.574737,0.562762,0.730402,0.452573,0.349927,0.600444,0.431577
ASE_00280,Ribonuclease P RNA,RNase P Database,PS2.ct,Pond Scum #2,0.686747,0.518072,0.619565,0.472527,0.652292,0.494776,0.698795,0.722892,0.795181,0.819277,0.746988,0.493976,0.662651,0.617021,0.618557,0.666667,0.701031,0.601942,0.369369,0.597826,0.656636,0.668693,0.728094,0.757851,0.670555,0.427153,0.629404
ASE_00281,Ribonuclease P RNA,RNase P Database,PS22.ct,Pond Scum #22,0.763889,0.819444,0.662651,0.670455,0.711472,0.741215,0.736111,0.680556,0.888889,0.680556,0.75,0.611111,0.569444,0.595506,0.550562,0.735632,0.563218,0.574468,0.473118,0.43617,0.662086,0.612118,0.808638,0.619113,0.656392,0.537706,0.498372
