contrafold_2 Sens,vienna_2 Sens,contrafold_2 PPV,vienna_2 PPV,contrafold_2 F-score,vienna_2 F-score,eternafold_A Sens,eternafold_B Sens,eternafold_C Sens,eternafold_D Sens,eternafold_E Sens,eternafold_F Sens,eternafold_G Sens,eternafold_A F-score,eternafold_B F-score,eternafold_C F-score,eternafold_D F-score,eternafold_E F-score,eternafold_F F-score,eternafold_G F-score,eternafold_A PPV,eternafold_B PPV,eternafold_C PPV,eternafold_D PPV,eternafold_E PPV,eternafold_F PPV,eternafold_G PPV,Category,Name
0.746835,0.64557,0.719512,0.579545,0.733046,0.611667,0.860759,0.734177,0.696203,0.898734,0.772152,0.405063,0.56962,0.797629,0.687849,0.675165,0.823912,0.696836,0.407651,0.539707,0.73913,0.644444,0.654762,0.755319,0.628866,0.410256,0.511364,tmRNA,tmRNA_Heli.must._DQ250625_1-366
0.26,0.44,0.0970149,0.151724,0.15882,0.258377,0.28,0.2,0.26,0.3,0.26,0.36,0.18,0.164422,0.119952,0.156502,0.169842,0.153206,0.205798,0.103237,0.0965517,0.0719424,0.0942029,0.0961538,0.0902778,0.117647,0.0592105,srp,srp_Rals.eutr._AM260479
1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5s,5s_Finegoldia-magna-2
0.503356,0.55481,0.440313,0.507157,0.47078,0.530449,0.552573,0.512304,0.545861,0.494407,0.536913,0.568233,0.49217,0.512814,0.474985,0.511537,0.454906,0.499244,0.517471,0.453708,0.475915,0.440385,0.479371,0.418561,0.464217,0.471243,0.418251,srp,srp_Stap.epid._AX145149
0.573333,0.7,0.51497,0.65625,0.543368,0.677772,0.4,0.533333,0.506667,0.426667,0.593333,0.393333,0.453333,0.370328,0.500979,0.48163,0.401968,0.567443,0.354177,0.43488,0.342857,0.470588,0.457831,0.378698,0.542683,0.318919,0.417178,grp1,grp1_a.I1.m.S.luteus.B4.LSU.1923
0.515152,0.515152,0.459459,0.5,0.486509,0.507519,0.515152,0.515152,0.575758,0.515152,0.515152,0.454545,0.454545,0.47387,0.480065,0.522958,0.47387,0.47387,0.373023,0.418121,0.435897,0.447368,0.475,0.435897,0.435897,0.306122,0.384615,srp,srp_Zymo.mobi._AE008692
0.766667,0.766667,0.766667,0.741935,0.766667,0.7542,0.566667,0.7,0.833333,0.666667,0.633333,0.266667,0.5,0.524631,0.677772,0.806871,0.645497,0.613222,0.335083,0.46291,0.485714,0.65625,0.78125,0.625,0.59375,0.421053,0.428571,srp,srp_Batr.dend._GSP-403673
0.833333,0.916667,0.75,0.825,0.790569,0.869627,0.833333,0.833333,0.944444,0.833333,0.944444,0.694444,0.833333,0.790569,0.790569,0.884984,0.800641,0.895978,0.704295,0.790569,0.75,0.75,0.829268,0.769231,0.85,0.714286,0.75,5s,5s_Candidatus-Tremblaya-princeps-1
0.828571,0.885714,0.659091,0.72093,0.738988,0.799086,0.857143,0.857143,0.857143,0.8,0.828571,0.657143,0.857143,0.764471,0.764471,0.764471,0.713506,0.747532,0.599887,0.764471,0.681818,0.681818,0.681818,0.636364,0.674419,0.547619,0.681818,tmRNA,tmRNA_Clos.diff._TRW-367459_1-350
0.8,0.885714,0.756757,0.837838,0.778078,0.861443,0.8,0.8,0.8,0.8,0.771429,0.257143,0.257143,0.767772,0.778078,0.748331,0.757865,0.740352,0.234738,0.240535,0.736842,0.756757,0.7,0.717949,0.710526,0.214286,0.225,grp1,grp1_a.I1.e.D.parva.C1.SSU.1512
0.222222,0.296296,0.25,0.258065,0.235702,0.276521,0.222222,0.222222,0.222222,0.222222,0.296296,0.148148,0.222222,0.204124,0.210818,0.235702,0.201007,0.285896,0.13202,0.20739,0.1875,0.2,0.25,0.181818,0.275862,0.117647,0.193548,srp,srp_Zea.mays._X14661
0.392857,0.571429,0.423077,0.727273,0.407687,0.644659,0.214286,0.321429,1,0.321429,0.392857,0.214286,0.107143,0.203653,0.315838,0.907485,0.321429,0.386024,0.179284,0.100223,0.193548,0.310345,0.823529,0.321429,0.37931,0.15,0.09375,srp,srp_Mari.aqua._CP000514
0.935484,0.870968,0.74359,0.771429,0.834036,0.819689,0.935484,0.83871,0.935484,0.935484,0.935484,0.387097,0.290323,0.834036,0.77829,0.834036,0.823545,0.834036,0.422682,0.269408,0.74359,0.722222,0.74359,0.725,0.74359,0.461538,0.25,tRNA,tRNA_tdbR00000321-Saccharomyces_cerevisiae-4932-Pro-UGG
0.606061,0.69697,0.540541,0.69697,0.572364,0.69697,0.818182,0.727273,0.636364,0.818182,0.606061,0.484848,0.272727,0.762456,0.706188,0.593022,0.762456,0.557495,0.451826,0.26482,0.710526,0.685714,0.552632,0.710526,0.512821,0.421053,0.257143,tRNA,tRNA_tdbR00000577-Leishmania_tarentolae-5689-Glu-CUC
0.848485,0.363636,0.682927,0.333333,0.761218,0.348155,0.666667,0.666667,0.69697,0.727273,0.666667,0.393939,0.666667,0.613245,0.613245,0.6495,0.660578,0.613245,0.357813,0.621261,0.564103,0.564103,0.605263,0.6,0.564103,0.325,0.578947,tmRNA,tmRNA_Magn.spec._CP000471_1-366
0.555556,0.666667,0.428571,0.5,0.48795,0.57735,0.592593,0.592593,0.518519,0.518519,0.592593,0.222222,0.555556,0.506218,0.506218,0.437074,0.44294,0.506218,0.218218,0.474579,0.432432,0.432432,0.368421,0.378378,0.432432,0.214286,0.405405,tmRNA,tmRNA_Geob.sulf._AE017180_1-356
0.657143,0.628571,0.621622,0.628571,0.639136,0.628571,0.657143,1,0.657143,1,1,0.285714,0.971429,0.599887,0.935414,0.614701,0.935414,0.947331,0.294245,0.886789,0.547619,0.875,0.575,0.875,0.897436,0.30303,0.809524,RNaseP,RNaseP_H.morrhuae
0.857143,0.857143,0.75,0.705882,0.801784,0.777844,0.857143,0.857143,0.857143,0.857143,0.857143,0.25,0.785714,0.777844,0.766652,0.789542,0.766652,0.789542,0.206599,0.702764,0.705882,0.685714,0.727273,0.685714,0.727273,0.170732,0.628571,tmRNA,tmRNA_Desu.psyc._CR522870_1-366
0.3125,0.3125,0.25,0.277778,0.279508,0.294628,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375,0.3125,0.283069,0.283069,0.279508,0.279508,0.283069,0.360997,0.28677,0.25641,0.25641,0.25,0.25,0.25641,0.297872,0.263158,5s,5s_Neurospora-crassa-12
0.40625,0.40625,0.361111,0.361111,0.383016,0.383016,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.38845,0.38845,0.383016,0.38845,0.3728,0.377805,0.377805,0.371429,0.371429,0.361111,0.371429,0.342105,0.351351,0.351351,tmRNA,tmRNA_Porp.purp._TRW-2787_1-323
0.866667,0.8,0.742857,0.727273,0.802377,0.76277,0.9,0.9,0.866667,0.9,0.866667,0.266667,0.7,0.821584,0.821584,0.802377,0.821584,0.802377,0.254257,0.613941,0.75,0.75,0.742857,0.75,0.742857,0.242424,0.538462,tmRNA,tmRNA_Cyan.mero._AY286123_1-236
0.757576,0.636364,0.657895,0.567568,0.705978,0.600982,0.69697,0.69697,0.878788,0.69697,0.666667,0.151515,0.69697,0.6495,0.658219,0.808367,0.6495,0.60553,0.131216,0.633054,0.605263,0.621622,0.74359,0.605263,0.55,0.113636,0.575,RNaseP,RNaseP_SM-A2539
0.633333,0.666667,0.513514,0.571429,0.570285,0.617214,0.666667,0.666667,0.633333,0.666667,0.7,0.466667,0.4,0.592349,0.592349,0.562731,0.592349,0.621967,0.43205,0.381385,0.526316,0.526316,0.5,0.526316,0.552632,0.4,0.363636,RNaseP,RNaseP_L.weilii
0.484848,0.484848,0.4,0.410256,0.440385,0.445995,0.484848,0.484848,0.484848,0.484848,0.484848,0.424242,0.484848,0.429772,0.434982,0.429772,0.429772,0.429772,0.367405,0.434982,0.380952,0.390244,0.380952,0.380952,0.380952,0.318182,0.390244,tmRNA,tmRNA_Clos.perf._CP000312_1-361
0.939394,0.939394,0.911765,0.885714,0.925476,0.912159,0.939394,0.939394,1,0.969697,0.939394,0.181818,0.939394,0.899401,0.912159,0.9444,0.928414,0.887164,0.163118,0.899401,0.861111,0.885714,0.891892,0.888889,0.837838,0.146341,0.861111,srp,srp_Rhod.palu._CP000463
0.833333,0.305556,0.810811,0.34375,0.821995,0.324091,0.888889,0.888889,0.861111,0.888889,0.833333,0.0833333,0.861111,0.843274,0.843274,0.827329,0.843274,0.811107,0.0870388,0.838144,0.8,0.8,0.794872,0.8,0.789474,0.0909091,0.815789,tmRNA,tmRNA_Phot.prof._CR378665_1-368
0.333333,0.30303,0.314286,0.263158,0.323669,0.282391,0.363636,0.363636,0.333333,0.363636,0.333333,0.333333,0.333333,0.343418,0.343418,0.306622,0.343418,0.3148,0.282329,0.3148,0.324324,0.324324,0.282051,0.324324,0.297297,0.23913,0.297297,srp,srp_Lact.plan._AL935253
0.3,0.166667,0.225,0.142857,0.259808,0.154303,0.3,0.3,0.733333,0.3,0.3,0.166667,0.3,0.253546,0.25662,0.635085,0.253546,0.253546,0.142567,0.253546,0.214286,0.219512,0.55,0.214286,0.214286,0.121951,0.214286,srp,srp_Deba.hans._CR382138
0.588235,0.588235,0.47619,0.512821,0.529256,0.549235,0.588235,0.588235,0.588235,0.588235,0.588235,0.411765,0.588235,0.535672,0.535672,0.529256,0.529256,0.529256,0.357917,0.542326,0.487805,0.487805,0.47619,0.47619,0.47619,0.311111,0.5,tmRNA,tmRNA_Fuso.nucl._TRW-393480_1-344
0.727273,0.787879,0.48,0.530612,0.590839,0.646574,0.727273,0.727273,0.727273,0.727273,0.727273,0.545455,0.727273,0.585018,0.585018,0.590839,0.585018,0.590839,0.44313,0.585018,0.470588,0.470588,0.48,0.470588,0.48,0.36,0.470588,srp,srp_Meth.jann._L77117
0.4,0.8,0.4,0.682927,0.4,0.739149,0.714286,0.771429,0.4,0.742857,0.742857,0.428571,0.542857,0.668153,0.740352,0.394405,0.694879,0.694879,0.405999,0.542857,0.625,0.710526,0.388889,0.65,0.65,0.384615,0.542857,tmRNA,tmRNA_Acin.spec._CR543861_1-360
0.848485,0.848485,0.666667,0.682927,0.752102,0.761218,0.848485,0.848485,0.848485,0.848485,0.848485,0.212121,0.848485,0.752102,0.752102,0.752102,0.752102,0.752102,0.190305,0.743305,0.666667,0.666667,0.666667,0.666667,0.666667,0.170732,0.651163,5s,5s_Diplonema-papillatum-1
0.285714,0.257143,0.285714,0.236842,0.285714,0.246784,0.942857,0.942857,0.514286,0.942857,0.257143,0.428571,0.828571,0.87114,0.87114,0.507093,0.87114,0.240535,0.395973,0.765547,0.804878,0.804878,0.5,0.804878,0.225,0.365854,0.707317,tmRNA,tmRNA_Stre.ther._CP000419_1-350
0.375,0.1875,0.292683,0.157895,0.331295,0.172062,0.34375,0.34375,0.5625,0.28125,0.375,0.3125,0.28125,0.303687,0.303687,0.474342,0.245495,0.344123,0.266501,0.245495,0.268293,0.268293,0.4,0.214286,0.315789,0.227273,0.214286,srp,srp_Cyan.mero._AY286123
0.666667,0.266667,0.625,0.32,0.645497,0.292119,0.5,0.466667,0.8,0.5,0.666667,0.3,0.433333,0.46291,0.43205,0.72036,0.46291,0.645497,0.290474,0.413167,0.428571,0.4,0.648649,0.428571,0.625,0.28125,0.393939,5s,5s_Ureaplasma-urealyticum-1
0.78125,0.8125,0.657895,0.684211,0.716924,0.745601,0.90625,0.84375,0.84375,0.84375,0.78125,0.40625,0.84375,0.842795,0.764287,0.764287,0.774278,0.707673,0.346451,0.764287,0.783784,0.692308,0.692308,0.710526,0.641026,0.295455,0.692308,srp,srp_Lact.john._AE017201
0.903226,0.548387,0.875,0.5,0.889001,0.523635,0.903226,0.935484,0.903226,0.935484,0.935484,0.451613,0.903226,0.889001,0.906693,0.889001,0.906693,0.89326,0.425024,0.889001,0.875,0.878788,0.875,0.878788,0.852941,0.4,0.875,16s,16s_A.pyrophilus_domain2
0.703704,0.740741,0.612903,0.571429,0.656736,0.6506,0.740741,0.740741,0.740741,0.740741,0.740741,0.296296,0.740741,0.6506,0.6506,0.6506,0.6506,0.670026,0.26024,0.641501,0.571429,0.571429,0.571429,0.571429,0.606061,0.228571,0.555556,tmRNA,tmRNA_Cyan.para._TRW-2762_1-294
0.806452,0.774194,0.78125,0.8,0.793751,0.786991,0.419355,0.419355,0.774194,0.387097,0.774194,0.419355,0.387097,0.389145,0.400427,0.762001,0.364306,0.750367,0.360278,0.364306,0.361111,0.382353,0.75,0.342857,0.727273,0.309524,0.342857,grp1,grp1_a.I1.e.Staurastrum.sp.M752.C1.SSU.1506
0.37931,0.37931,0.354839,0.354839,0.366871,0.366871,0.37931,0.37931,0.37931,0.37931,0.37931,0.206897,0.241379,0.355579,0.350311,0.340442,0.345271,0.350311,0.180743,0.222925,0.333333,0.323529,0.305556,0.314286,0.323529,0.157895,0.205882,srp,srp_Ther.ther._AP008226
0.272727,0.272727,0.28125,0.375,0.276956,0.319801,0.272727,0.272727,0.272727,0.272727,0.272727,0.484848,0.272727,0.26482,0.257563,0.261116,0.26482,0.254152,0.470792,0.261116,0.257143,0.243243,0.25,0.257143,0.236842,0.457143,0.25,tmRNA,tmRNA_Myco.Bxz1._AY129337_1-437
0.321429,0,0.3,0,0.31053,0,0.678571,0.428571,0.5,0.678571,0.0714286,0.178571,0.214286,0.590301,0.383326,0.453743,0.590301,0.0648204,0.151307,0.181568,0.513514,0.342857,0.411765,0.513514,0.0588235,0.128205,0.153846,srp,srp_Hypo.jeco._GSP-334564-2
0.548387,0.290323,0.53125,0.25,0.53975,0.269408,0.774194,0.548387,0.612903,0.709677,0.451613,0.193548,0.741935,0.728612,0.523635,0.585239,0.658553,0.419079,0.174815,0.670124,0.685714,0.5,0.558824,0.611111,0.388889,0.157895,0.605263,tmRNA,tmRNA_Camp.jeju._CP000025_1-359
0.857143,0.828571,0.75,0.783784,0.801784,0.805866,0.885714,0.885714,0.828571,0.885714,0.828571,0.428571,0.885714,0.818344,0.818344,0.765547,0.818344,0.756378,0.373833,0.82851,0.756098,0.756098,0.707317,0.756098,0.690476,0.326087,0.775,5s,5s_Thermotoga-petrophila-1
0.942857,0.942857,0.733333,0.767442,0.831522,0.85064,0.914286,0.914286,0.914286,0.914286,0.942857,0.257143,0.914286,0.806324,0.806324,0.788982,0.788982,0.840918,0.260897,0.806324,0.711111,0.711111,0.680851,0.680851,0.75,0.264706,0.711111,srp,srp_Plas.viva._GSP-31273
1,1,0.795455,0.875,0.891883,0.935414,0.942857,0.942857,1,1,1,0.6,0.942857,0.85064,0.85064,0.891883,0.891883,0.902193,0.554362,0.85064,0.767442,0.767442,0.795455,0.795455,0.813953,0.512195,0.767442,grp1,grp1_a.I1.c.S.anglica.C3.tLEU
0.413793,0.413793,0.363636,0.363636,0.387905,0.387905,0.413793,0.413793,0.413793,0.413793,0.413793,0.275862,0.275862,0.376659,0.37139,0.387905,0.37139,0.37139,0.24099,0.247594,0.342857,0.333333,0.363636,0.333333,0.333333,0.210526,0.222222,tRNA,tRNA_tdbR00000574-Leishmania_tarentolae-5689-Trp-CCA
0.166667,0.166667,0.147059,0.15625,0.156556,0.161374,0.233333,0.233333,0.2,0.233333,0.166667,0.233333,0.233333,0.225924,0.225924,0.190692,0.225924,0.163956,0.219178,0.225924,0.21875,0.21875,0.181818,0.21875,0.16129,0.205882,0.21875,tRNA,tRNA_tdbR00000293-Methanobacterium_thermaggregans-83982-Asn-UU
0.46875,0.5625,0.394737,0.486486,0.430155,0.523114,0.4375,0.5,0.46875,0.5625,0.84375,0.40625,0.625,0.412479,0.452911,0.430155,0.53033,0.784672,0.36799,0.597615,0.388889,0.410256,0.394737,0.5,0.72973,0.333333,0.571429,tmRNA,tmRNA_Camp.fetu._AY211269_1-361
0.8125,0.8125,0.722222,0.742857,0.766032,0.776899,0.8125,0.8125,0.8125,0.8125,0.8125,0.40625,0.59375,0.776899,0.776899,0.766032,0.776899,0.766032,0.383016,0.576022,0.742857,0.742857,0.722222,0.742857,0.722222,0.361111,0.558824,tmRNA,tmRNA_Rals.sola._AL646052_1-360
0.733333,0.666667,0.647059,0.689655,0.688847,0.678064,0.733333,0.733333,0.7,0.733333,0.733333,0.566667,0.733333,0.678934,0.669438,0.639009,0.678934,0.669438,0.597319,0.678934,0.628571,0.611111,0.583333,0.628571,0.611111,0.62963,0.628571,tmRNA,tmRNA_Guil.thet._TRW-55529_1-330
0.914286,0.8,0.695652,0.608696,0.797512,0.697823,0.971429,0.942857,0.885714,0.942857,0.942857,0.771429,0.942857,0.847356,0.822434,0.772589,0.822434,0.822434,0.704215,0.822434,0.73913,0.717391,0.673913,0.717391,0.717391,0.642857,0.717391,5s,5s_Saprolegnia-ferax-1
0.454545,0.575758,0.394737,0.5,0.423587,0.536544,0.484848,0.515152,0.575758,0.484848,0.454545,0.393939,0.484848,0.451826,0.47387,0.522958,0.445995,0.423587,0.382518,0.457891,0.421053,0.435897,0.475,0.410256,0.394737,0.371429,0.432432,srp,srp_Gynu.aura._SDB-109565
0.794118,0.794118,0.710526,0.75,0.75116,0.771744,0.852941,0.852941,0.852941,0.852941,0.794118,0.794118,0.852941,0.796391,0.796391,0.796391,0.796391,0.73214,0.75116,0.796391,0.74359,0.74359,0.74359,0.74359,0.675,0.710526,0.74359,tmRNA,tmRNA_Ocea.ihey._BA000028_1-364
0.939394,0.939394,0.72093,0.794872,0.822944,0.864117,0.878788,0.909091,0.939394,0.939394,0.939394,0.484848,0.848485,0.778962,0.805823,0.832684,0.822944,0.842778,0.445995,0.743305,0.690476,0.714286,0.738095,0.72093,0.756098,0.410256,0.651163,5s,5s_Ascobolus-immersus-4
1,0.944444,0.8,0.871795,0.894427,0.907393,1,1,1,1,0.888889,0.583333,1,0.904534,0.904534,0.904534,0.904534,0.822951,0.553398,0.904534,0.818182,0.818182,0.818182,0.818182,0.761905,0.525,0.818182,grp1,grp1_a.I1.m.S.luteus.C2.LSU.1685
0.742857,0.771429,0.565217,0.627907,0.647978,0.695978,0.742857,0.742857,0.742857,0.742857,0.742857,0.857143,0.742857,0.647978,0.647978,0.647978,0.647978,0.647978,0.739671,0.647978,0.565217,0.565217,0.565217,0.565217,0.565217,0.638298,0.565217,5s,5s_Clostridium-innocuum-1
0.914286,0.657143,0.780488,0.638889,0.844742,0.647952,0.885714,0.914286,0.914286,0.857143,0.8,0.285714,0.885714,0.818344,0.844742,0.844742,0.791945,0.748331,0.254824,0.808543,0.756098,0.780488,0.780488,0.731707,0.7,0.227273,0.738095,tmRNA,tmRNA_Xant.axon._AE011783_1-397
0.75,0.888889,0.55102,0.695652,0.642857,0.786357,0.694444,0.694444,0.75,0.666667,0.75,0,0.388889,0.595238,0.595238,0.642857,0.571429,0.642857,0,0.347833,0.510204,0.510204,0.55102,0.489796,0.55102,0,0.311111,tRNA,tRNA_tdbR00000358-Escherichia_coli-562-Arg-CU
0.857143,0.714286,0.681818,0.581395,0.764471,0.644424,0.857143,0.857143,0.857143,0.8,0.8,0.828571,0.857143,0.764471,0.764471,0.764471,0.713506,0.713506,0.756378,0.755929,0.681818,0.681818,0.681818,0.636364,0.636364,0.690476,0.666667,tmRNA,tmRNA_Ther.fusc._CP000088_1-372
0.71875,0.65625,0.638889,0.65625,0.677644,0.65625,0.6875,0.6875,0.71875,0.71875,0.65625,0.40625,0.21875,0.639362,0.630893,0.668424,0.668424,0.636656,0.36799,0.21541,0.594595,0.578947,0.621622,0.621622,0.617647,0.333333,0.212121,5s,5s_Erysipelothrix-tonsillarum-1
0.969697,1,0.864865,0.891892,0.915782,0.9444,0.545455,0.545455,1,0.969697,1,0.393939,0.424242,0.522233,0.529641,0.9444,0.915782,0.9444,0.377168,0.390246,0.5,0.514286,0.891892,0.864865,0.891892,0.361111,0.358974,srp,srp_Sene.crue._SDB-189209
0.923077,0.307692,0.96,0.307692,0.941357,0.307692,0.307692,0.307692,0.961538,0.307692,0.923077,0.307692,0.307692,0.307692,0.307692,0.943564,0.307692,0.923077,0.359937,0.296499,0.307692,0.307692,0.925926,0.307692,0.923077,0.421053,0.285714,telomerase,telomerase_AY312571.605-1069
0.24,0.76,0.206897,0.703704,0.222835,0.73131,0.24,0.76,0.24,0.24,0.24,0.44,0.24,0.222835,0.73131,0.219089,0.219089,0.212132,0.44,0.215526,0.206897,0.703704,0.2,0.2,0.1875,0.44,0.193548,tmRNA,tmRNA_Myxo.xant._TRW-34_1-366
0.28,0.4,0.304348,0.344828,0.29192,0.371391,0.28,0.28,0.52,0.28,0.32,0,0.28,0.274563,0.274563,0.474693,0.264575,0.326598,0,0.264575,0.269231,0.269231,0.433333,0.25,0.333333,0,0.25,5s,5s_Oenococcus-oeni-1
0.689655,0.241379,0.625,0.2,0.656532,0.219718,0.655172,0.62069,0.724138,0.689655,0.689655,0.482759,0.275862,0.623705,0.573237,0.689359,0.646508,0.656532,0.474645,0.244225,0.59375,0.529412,0.65625,0.606061,0.625,0.466667,0.216216,tmRNA,tmRNA_Ther.teng._AE013063_1-351
0.619048,0.619048,0.52,0.52,0.567367,0.567367,0.714286,0.666667,0.714286,0.714286,0.857143,0.52381,0.666667,0.641941,0.587945,0.607831,0.607831,0.717137,0.453632,0.567309,0.576923,0.518519,0.517241,0.517241,0.6,0.392857,0.482759,5s,5s_Chlamydia-muridarum-2
0.888889,0.888889,0.864865,0.864865,0.876795,0.876795,0.944444,0.944444,0.888889,0.944444,0.888889,0.444444,0.944444,0.874386,0.874386,0.843274,0.874386,0.843274,0.457329,0.864159,0.809524,0.809524,0.8,0.809524,0.8,0.470588,0.790698,5s,5s_Wigglesworthia-glossinidia-1
0.333333,0.333333,0.354839,0.423077,0.343918,0.375534,0.515152,0.515152,0.333333,0.333333,0.333333,0.30303,0.606061,0.500216,0.507519,0.323669,0.333333,0.319142,0.275241,0.580259,0.485714,0.5,0.314286,0.333333,0.305556,0.25,0.555556,tmRNA,tmRNA_Syne.spec._TRW-1131_1-399
0.588235,0.411765,0.526316,0.341463,0.556415,0.37497,0.735294,0.441176,0.617647,0.735294,0.470588,0.470588,0.294118,0.677908,0.392299,0.584236,0.677908,0.41367,0.439388,0.289886,0.625,0.348837,0.552632,0.625,0.363636,0.410256,0.285714,tmRNA,tmRNA_Kine.radi._TRW-266940_1-366
0.636364,0.212121,0.6,0.212121,0.617915,0.212121,0.666667,0.666667,0.666667,0.666667,0.666667,0.0909091,0.666667,0.647339,0.647339,0.638285,0.638285,0.638285,0.0895622,0.638285,0.628571,0.628571,0.611111,0.611111,0.611111,0.0882353,0.611111,srp,srp_Phak.meib._GSP-169999
0.241379,0.172414,0.291667,0.172414,0.265334,0.172414,0.172414,0.172414,0.931034,0.172414,0.172414,0,0,0.169516,0.169516,0.9005,0.166759,0.166759,0,0,0.166667,0.166667,0.870968,0.16129,0.16129,0,0,RNaseP,RNaseP_T.pallidum
0.837838,0.756757,0.756098,0.7,0.795919,0.727825,0.864865,0.837838,0.837838,0.837838,0.837838,0.243243,0.837838,0.821594,0.795919,0.795919,0.795919,0.805807,0.21356,0.795919,0.780488,0.756098,0.756098,0.756098,0.775,0.1875,0.756098,tmRNA,tmRNA_Bloc.flor._BX248583_1-393
0.833333,0.9,0.735294,0.818182,0.78278,0.858116,0.866667,0.866667,0.833333,0.833333,0.9,0.3,0.566667,0.814092,0.814092,0.78278,0.78278,0.845403,0.290474,0.532291,0.764706,0.764706,0.735294,0.735294,0.794118,0.28125,0.5,srp,srp_Chro.viol._AE016825
0.828571,0.571429,0.725,0.512821,0.775057,0.541332,0.628571,0.714286,0.857143,0.628571,0.714286,0.428571,0.628571,0.587975,0.668153,0.801784,0.587975,0.668153,0.405999,0.587975,0.55,0.625,0.75,0.55,0.625,0.384615,0.55,srp,srp_Ferr.acid._GSP-333146
1,0.939394,0.846154,0.885714,0.919866,0.912159,0.393939,0.30303,1,1,0.30303,0.30303,0.30303,0.42023,0.307729,0.919866,0.919866,0.286182,0.268607,0.286182,0.448276,0.3125,0.846154,0.846154,0.27027,0.238095,0.27027,5s,5s_Lactobacillus-acidophilus-1
